,4FGL,RA,Dec,N_100,Delta_N,N_300,Gamma,z,Type,HSP,Table,ovdvalue
14,M 82,148.947,69.667,1,3,1,2.21±0.03,0.001,SBG,,1,0.0
126,Centaurus A,201.381,-43.016,5,6,1,2.574±0.019,0.002,RDG,,0,0.0
115,M 87,187.712,12.388,5,7,0,2.064±0.028,0.004,RDG,,0,0.0
28,NGC 1275,49.958,41.512,11,12,1,2.123±0.005,0.017,RDG,,0,0.21293264907019976
161,H 1722+119,261.271,11.875,8,10,2,1.869±0.019,0.018,BLL,,0,-0.07624473078712073
25,IC 310,49.215,41.346,3,5,1,1.882±0.124,0.019,RDG,,0,0.19784474158142804
207,NGC 6251,247.669,82.574,2,2,0,2.35±0.02,0.02,RDG,,3,-0.05026986138440147
63,4C +39.12,53.582,39.339,2,4,1,1.82±0.1,0.02,RDG,,2,0.06915802020553713
92,Markarian 421,166.119,38.207,232,314,69,1.785±0.004,0.03,BLL,,0,0.08726348660512966
46,NGC 1218,47.111,4.118,2,2,0,2.01±0.05,0.03,RDG,,3,-0.0031553540946463
189,B2 1447+27,222.396,27.769,2,2,0,1.48±0.11,0.031,RDG,,3,-0.06769558815408994
157,Markarian 501,253.474,39.759,81,109,22,1.795±0.008,0.034,BLL,E,0,-0.05956554169998766
127,PMN J0816-1311,124.112,-13.197,4,4,0,1.84±0.03,0.046,BLL,,2,-0.17210888875219268
98,Markarian 180,174.122,70.154,6,8,3,1.828±0.025,0.046,BLL,,0,0.29696972632504315
174,1ES 1959+650,300.011,65.148,89,115,32,1.815±0.009,0.047,BLL,,0,0.002196005728206498
148,AP Lib,229.425,-24.373,4,9,2,2.122±0.011,0.049,BLL,,0,-0.12749966015046174
162,1ES 1727+502,262.078,50.227,5,11,4,1.785±0.022,0.055,BLL,E,0,-0.22495007859658547
71,PKS 0521-36,80.737,-36.469,1,3,1,2.45±0.01,0.055,BCU,,3,0.15257140737724112
56,PKS 0625-35,96.775,-35.487,9,11,3,1.913±0.029,0.055,RDG,,0,0.4098312789275747
169,PMN J1256-1146,194.063,-11.776,2,2,0,1.97±0.05,0.058,BLL,E,3,0.4497618943658552
131,PMN J0847-2337,131.757,-23.614,7,11,1,1.92±0.03,0.059,BLL,,2,-0.1333160440578914
54,1RXS J032521.8-563543,51.379,-56.591,3,3,0,1.91±0.03,0.06,BLL,,2,0.15307449512311694
5,PMN J0039-2220,9.778,-22.328,1,4,1,1.78±0.09,0.064,BLL,,3,0.08597541590041646
143,PKS 1440-389,220.991,-39.148,18,21,1,1.834±0.015,0.065,BLL,,0,0.7919295486948175
163,4FGL J1203.1+6031,180.788,60.518,2,2,0,2.12±0.03,0.065,BLL,,3,0.5053924412275431
68,PGC 2402248,113.362,51.88,3,5,1,1.769±0.079,0.065,BLL,E,0,0.131715717297175
187,BL Lacertae,330.695,42.282,30,40,5,2.134±0.004,0.066,BLL,,0,0.30893050788438003
74,PKS 0336-177,54.812,-17.6,2,3,1,1.92±0.04,0.066,BLL,,2,0.04770353931204421
53,PKS 0548-322,87.625,-32.277,4,5,0,1.829±0.071,0.069,BLL,E,0,0.44048851399190414
50,V Zw 326,48.228,36.234,6,6,3,1.87±0.07,0.071,BLL,,2,0.6433938121880493
179,PKS 2005-489,302.359,-48.825,16,23,1,1.841±0.017,0.071,BLL,,0,0.08706982446312159
239,4FGL J1904.1+3627,286.034,36.453,3,4,0,1.85±0.06,0.078,BLL,E,2,-0.19582465225634266
165,1ES 1741+196,266.008,19.596,3,4,0,1.922±0.043,0.08,BLL,E,0,0.18700212035324645
103,B2 0806+35,122.422,34.925,2,2,0,1.89±0.09,0.082,BLL,,3,-0.04020135307770678
216,NVSS J164328-064619,250.883,-6.775,2,3,0,2.17±0.13,0.082,BLL,,2,0.08740801452776203
137,RX J0912.5+1555,138.137,15.934,3,3,1,1.79±0.09,0.085,BLL,E,2,0.06150593717272051
79,PKS 0352-686,58.274,-68.528,2,5,0,1.67±0.07,0.088,BLL,E,2,-0.3415865741837355
219,1RXS J171405.2-202747,258.522,-20.486,2,6,1,1.61±0.1,0.09,BCU,,2,0.001664374637459513
3,SHBL J001355.9-185406,3.48,-18.912,2,2,1,1.9±0.08,0.095,BLL,E,1,-0.029225762036655473
270,TXS 2320+343,350.685,34.612,4,4,0,2.01±0.07,0.098,BLL,,2,-0.10254194604149869
259,NVSS J204150-373341,310.479,-37.587,3,5,1,1.88±0.08,0.099,BLL,E,2,0.4373034422870024
197,TXS 1516+064,229.65,6.242,1,3,0,1.8±0.16,0.102,RDG,E,3,0.5805163357726619
107,W Comae,185.378,28.238,2,3,1,2.156±0.017,0.103,BLL,,0,0.27577276689899094
181,MG2 J204208+2426,310.536,24.458,4,5,1,1.947±0.052,0.104,BLL,E,0,-0.12189878982963327
